Line#,Date,"Solar Radiation (S-LIB 10455351:10444880-1), W/m^2, Pyranometer 1","Temperature (S-TMB 10455351:10138775-1), *C","Current (91-U30-CVIA 10455351:10417917-2), mA","Voltage (91-U30-CVIA 10455351:10417917-1), V","Battery (U30 BATTERY 10455351:10455351-B), V"
252,06/12/14 16:01:00,784,,0.000,-0.199,4.51
253,06/12/14 16:02:00,787,,0.000,-0.199,4.51
254,06/12/14 16:03:00,789,,0.000,-0.199,4.51
255,06/12/14 16:04:00,791,,0.000,-0.199,4.51
256,06/12/14 16:05:00,792,,0.000,-0.199,4.51
257,06/12/14 16:06:00,796,,0.000,-0.199,4.51
258,06/12/14 16:07:00,791,,0.000,-0.199,4.51
259,06/12/14 16:08:00,789,,0.000,-0.199,4.54
260,06/12/14 16:09:00,818,,0.000,-0.199,4.48
261,06/12/14 16:10:00,836,,0.000,-0.199,4.52
262,06/12/14 16:11:00,842,,0.000,-0.199,4.51
263,06/12/14 16:12:00,834,,0.000,-0.199,4.51
264,06/12/14 16:13:00,826,,0.000,-0.199,4.51
265,06/12/14 16:14:00,797,,0.000,-0.199,4.51
266,06/12/14 16:15:00,744,,0.000,-0.199,4.51
267,06/12/14 16:16:00,541,,0.000,-0.199,4.51
268,06/12/14 16:17:00,233,,0.000,-0.199,4.51
269,06/12/14 16:18:00,208,,0.000,-0.199,4.51
270,06/12/14 16:19:00,186,,0.000,-0.199,4.51
271,06/12/14 16:20:00,171,,0.000,-0.199,4.49
272,06/12/14 16:21:00,159,,0.000,-0.199,4.50
273,06/12/14 16:22:00,153,,0.000,-0.199,4.51
274,06/12/14 16:23:00,151,,0.000,-0.199,4.51
275,06/12/14 16:24:00,149,,0.000,-0.199,4.51
276,06/12/14 16:25:00,147,,0.000,-0.199,4.51
277,06/12/14 16:26:00,139,,0.000,-0.199,4.51
278,06/12/14 16:27:00,128,,0.000,-0.199,4.51
279,06/12/14 16:28:00,118,,0.000,-0.199,4.51
280,06/12/14 16:29:00,107,,0.000,-0.199,4.51
281,06/12/14 16:30:00,97,,0.000,-0.199,4.44
282,06/12/14 16:31:00,92,,0.000,-0.199,4.48
283,06/12/14 16:32:00,87,,0.000,-0.199,4.50
284,06/12/14 16:33:00,81,,0.000,-0.199,4.51
285,06/12/14 16:34:00,74,,0.000,-0.199,4.51
286,06/12/14 16:35:00,69,,0.000,-0.199,4.51
287,06/12/14 16:36:00,67,,0.000,-0.199,4.51
288,06/12/14 16:37:00,63,,0.000,-0.199,4.51
289,06/12/14 16:38:00,62,,0.000,-0.199,4.51
290,06/12/14 16:39:00,61,,0.000,-0.199,4.51
291,06/12/14 16:40:00,61,,0.000,-0.199,4.51
292,06/12/14 16:41:00,62,,0.000,-0.199,4.51
293,06/12/14 16:42:00,64,,0.000,-0.199,4.48
294,06/12/14 16:43:00,73,,0.000,-0.199,4.50
295,06/12/14 16:44:00,87,,0.000,-0.199,4.50
296,06/12/14 16:45:00,104,,0.000,-0.199,4.51
297,06/12/14 16:46:00,141,,0.000,-0.199,4.51
298,06/12/14 16:47:00,259,,0.000,-0.199,4.51
299,06/12/14 16:48:00,352,,0.000,-0.199,4.51
300,06/12/14 16:49:00,686,,0.000,-0.199,4.51
301,06/12/14 16:50:00,697,,0.000,-0.199,4.51
302,06/12/14 16:51:00,736,,0.000,-0.199,4.51
303,06/12/14 16:52:00,768,,0.000,-0.199,4.51
304,06/12/14 16:53:00,778,,0.000,-0.199,4.48
305,06/12/14 16:54:00,788,,0.000,-0.199,4.48
306,06/12/14 16:55:00,799,,0.000,-0.199,4.48
307,06/12/14 16:56:00,787,,0.000,-0.199,4.50
308,06/12/14 16:57:00,783,,0.000,-0.199,4.51
309,06/12/14 16:58:00,788,,0.000,-0.199,4.51
310,06/12/14 16:59:00,786,,0.000,-0.199,4.51
311,06/12/14 17:00:00,783,,0.000,-0.199,4.51
312,06/12/14 17:01:00,781,,0.000,-0.199,4.51
313,06/12/14 17:02:00,772,,0.000,-0.199,4.53
314,06/12/14 17:03:00,766,,0.000,-0.199,4.48
315,06/12/14 17:04:00,776,,0.000,-0.199,4.48
316,06/12/14 17:05:00,787,,0.000,-0.199,4.49
317,06/12/14 17:06:00,782,,0.000,-0.199,4.50
318,06/12/14 17:07:00,782,,0.000,-0.199,4.51
319,06/12/14 17:08:00,797,,0.000,-0.199,4.51
320,06/12/14 17:09:00,781,,0.000,-0.199,4.51
321,06/12/14 17:10:00,773,,0.000,-0.199,4.51
322,06/12/14 17:11:00,763,,0.000,-0.199,4.51
323,06/12/14 17:12:00,756,,0.000,-0.199,4.51
324,06/12/14 17:13:00,539,,0.000,-0.199,4.51
325,06/12/14 17:14:00,311,,0.000,-0.199,4.51
326,06/12/14 17:15:00,298,,0.000,-0.199,4.51
